,precision,recall,f1-score,support
0,0.8824359275805314,0.8007254107104758,0.8395973154362416,4687.0
1,0.4653692043503148,0.6191926884996192,0.5313725490196078,1313.0
accuracy,0.761,0.761,0.761,0.761
macro avg,0.6739025659654231,0.7099590496050474,0.6854849322279247,6000.0
weighted avg,0.7911678263136523,0.761,0.7721474623854017,6000.0
